22	0	0
42	0	0
44	0	0
50	0	0
54	0	0
64	0	0
88	0	0
98	0	0
102	0	0
109	0	0
40	1	1
31	2	2
27	3	3
25	4	4
29	4	4
30	4	4
67	4	4
101	4	4
118	4	4
46	5	5
15	6	6
17	6	6
60	6	6
74	6	6
75	6	6
81	6	6
96	6	6
121	6	6
86	7	7
87	7	7
111	7	7
14	8	8
37	8	8
76	8	8
92	8	8
48	9	9
20	10	10
83	10	10
122	11	11
7	-1	12
35	-1	12
47	-1	12
65	-1	12
66	-1	12
95	-1	12
106	-1	12
116	-1	12
126	-1	12
0	-1	-1
1	-1	-1
2	-1	-1
3	-1	-1
4	-1	-1
5	-1	-1
6	-1	-1
8	-1	-1
9	-1	-1
10	-1	-1
11	-1	-1
12	-1	-1
13	-1	-1
16	-1	-1
18	-1	-1
19	-1	-1
21	-1	-1
23	-1	-1
24	-1	-1
26	-1	-1
28	-1	-1
32	-1	-1
33	-1	-1
34	-1	-1
36	-1	-1
38	-1	-1
39	-1	-1
41	-1	-1
43	-1	-1
45	-1	-1
49	-1	-1
51	-1	-1
52	-1	-1
53	-1	-1
55	-1	-1
56	-1	-1
57	-1	-1
58	-1	-1
59	-1	-1
61	-1	-1
62	-1	-1
63	-1	-1
68	-1	-1
69	-1	-1
70	-1	-1
71	-1	-1
72	-1	-1
73	-1	-1
77	-1	-1
78	-1	-1
79	-1	-1
80	-1	-1
82	-1	-1
84	-1	-1
85	-1	-1
89	-1	-1
90	-1	-1
91	-1	-1
93	-1	-1
94	-1	-1
97	-1	-1
99	-1	-1
100	-1	-1
103	-1	-1
104	-1	-1
105	-1	-1
107	-1	-1
108	-1	-1
110	-1	-1
112	-1	-1
113	-1	-1
114	-1	-1
115	-1	-1
117	-1	-1
119	-1	-1
120	-1	-1
123	-1	-1
124	-1	-1
125	-1	-1
